url,condition,car,price
www.cars.com/vehicledetail/e0ad4a39-6fab-44f7-aac0-c565617a0d00/,Used,2018 Ferrari 488 GTB Base,$294900
www.cars.com/vehicledetail/e0c8e80a-2e47-4e29-a379-adae1f4faf83/,Ferrari Certified,2018 Ferrari GTC4Lusso V12,$244900
www.cars.com/vehicledetail/c91d7eb2-8cae-4496-b628-2f586b5dd2df/,Used,2015 Ferrari FF Base,$115000
www.cars.com/vehicledetail/e434a58e-ff58-408e-b565-d1b138d6f295/,Used,2017 Ferrari 488 GTB Base,$279996
www.cars.com/vehicledetail/db01ac02-bdf2-4974-bae8-6d61bfdb12a7/,Used,2018 Ferrari 488 Spider Base,$338991
www.cars.com/vehicledetail/5bd3c2eb-4625-4b6e-8f9c-02cd58d34206/,Used,2017 Ferrari 488 GTB Base,$289900
www.cars.com/vehicledetail/79bb6bb6-aac9-42b9-869b-82ae70480fa6/,Used,2020 Ferrari 488 Pista Base,$533991
www.cars.com/vehicledetail/3981991c-0502-433d-a10a-47b69505b464/,Ferrari Certified,2020 Ferrari 812 Superfast Base,$449900
www.cars.com/vehicledetail/d1d6f986-77c5-4d9f-a427-707850e3f285/,Used,2017 Ferrari 488 Spider Base,$339900
www.cars.com/vehicledetail/05a7d167-5864-4864-a09c-a0d6be31c2b1/,Ferrari Certified,2015 Ferrari California T,$184900
www.cars.com/vehicledetail/08fd9761-2193-4540-9cbf-23320b8d1992/,Ferrari Certified,2015 Ferrari California T,$184900
www.cars.com/vehicledetail/e5819af2-57cc-4632-be22-d80f1ae15749/,Used,2021 Ferrari SF90 Stradale,$899000
www.cars.com/vehicledetail/11f4704a-be93-4c28-80a7-2b623faa0a8c/,Used,2017 Ferrari 488 Spider Base,$349900
www.cars.com/vehicledetail/92b837b8-a268-4aa9-8e39-c396b6ac44ce/,Used,2018 Ferrari 488 GTB Base,$304990
www.cars.com/vehicledetail/7bd4da2d-c870-46f8-9ce0-b8a820d8d022/,Used,2021 Ferrari SF90 Stradale,$849000
www.cars.com/vehicledetail/6ea63cbf-b3fb-434a-8972-8b6c113fdad6/,Ferrari Certified,2012 Ferrari California Base,$124999
www.cars.com/vehicledetail/090bf65d-8e0c-44b3-80db-c4fb9179fba0/,Ferrari Certified,2020 Ferrari 812 Superfast Base,$435900
www.cars.com/vehicledetail/51bca173-d400-4834-a96e-f3f3afe920f1/,Used,2018 Ferrari 488 GTB Base,$307000
www.cars.com/vehicledetail/5266dab8-4764-49ff-98d9-5de9fe32d5e5/,Used,2020 Ferrari 488 Pista Base,$569991
www.cars.com/vehicledetail/f739339a-f4c7-491a-9f6b-ea04208e9cc1/,Used,2017 Ferrari 488 GTB Base,$279996
